,Movie_name,Year,Rating(%),Directed By
118,John Wick: Chapter 4,(2023),94%,Chad Stahelski
119,The Princess Bride,(1987),96%,Rob Reiner
120,Sunrise,(1927),98%,F.W. Murnau
121,Before Midnight,(2013),98%,Richard Linklater
122,Lawrence of Arabia,(1962),93%,David Lean
123,Strangers on a Train,(1951),98%,Alfred Hitchcock
124,Sling Blade,(1996),97%,Billy Bob Thornton
125,Kubo and the Two Strings,(2016),97%,Travis Knight
126,Sweet Smell of Success,(1957),98%,Alexander Mackendrick
127,The Thin Man,(1934),98%,W. S. Van Dyke II
128,Once Upon a Time in the West,(1968),96%,Sergio Leone
129,Eternal Sunshine of the Spotless Mind,(2004),92%,Michel Gondry
130,Sense and Sensibility,(1995),97%,Ang Lee
131,BlacKkKlansman,(2018),96%,Spike Lee
132,Lost in Translation,(2003),95%,Sofia Coppola
133,Au Hasard Balthazar,(1966),100%,Robert Bresson
134,Boyhood,(2014),97%,Richard Linklater
135,The Grapes of Wrath,(1940),100%,John Ford
136,Sing Street,(2016),95%,John Carney
137,A Fistful of Dollars,(1964),98%,Sergio Leone
138,The Truman Show,(1998),94%,Peter Weir
139,Life of Brian,(1979),96%,Terry Jones
140,8 1/2,(1963),97%,Federico Fellini
141,Marriage Story,(2019),95%,Noah Baumbach
142,Searching for Bobby Fischer,(1993),100%,Steven Zaillian
143,Battleship Potemkin,(1925),100%,Sergei M. Eisenstein
144,Sullivan's Travels,(1941),100%,Preston Sturges
145,The Red Circle,(1970),96%,Jean-Pierre Melville
146,The Lost Weekend,(1945),97%,Billy Wilder
147,Tim Burton's The Nightmare Before Christmas,(1993),95%,Henry Selick
148,Oppenheimer,(2023),93%,Christopher Nolan
149,The Discreet Charm of the Bourgeoisie,(1972),98%,Luis Buñuel
150,The Lord of the Rings: The Fellowship of the Ring,(2001),92%,Peter Jackson
151,Ford v Ferrari,(2019),92%,James Mangold
152,My Left Foot,(1989),98%,Jim Sheridan
153,Room,(2015),93%,Lenny Abrahamson
154,The Lord of the Rings: The Return of the King,(2003),94%,Peter Jackson
155,A Night at the Opera,(1935),97%,Sam Wood
156,Halloween,(1978),97%,John Carpenter
157,Air,(2023),93%,Ben Affleck
158,The Sweet Hereafter,(1997),98%,Atom Egoyan
159,Playtime,(1967),98%,Jacques Tati
160,True Grit,(2010),95%,Joel Coen
161,A Quiet Place,(2018),96%,John Krasinski
162,Mudbound,(2017),97%,Dee Rees
163,Boyz N the Hood,(1991),96%,John Singleton
164,Brazil,(1985),98%,Terry Gilliam
165,Hidden Figures,(2016),93%,Theodore Melfi
166,Grand Illusion,(1937),97%,Jean Renoir
167,The Conversation,(1974),93%,Francis Ford Coppola
168,Fargo,(1996),95%,Joel Coen
169,Diabolique,(1955),95%,Henri-Georges Clouzot
170,The Apartment,(1960),93%,Billy Wilder
171,Apollo 13,(1995),96%,Ron Howard
172,Princess Mononoke,(1997),93%,Hayao Miyazaki
173,Umberto D,(1952),98%,Vittorio De Sica
174,Black Panther,(2018),96%,Ryan Coogler
175,Bringing Up Baby,(1938),97%,Howard Hawks
176,The Sting,(1973),93%,George Roy Hill
177,Logan,(2017),93%,James Mangold
178,Nightcrawler,(2014),95%,Dan Gilroy
179,The Departed,(2006),91%,Martin Scorsese
180,Juno,(2007),93%,Jason Reitman
181,Hero,(2002),94%,Yimou Zhang
182,Shaun of the Dead,(2004),92%,Edgar Wright
183,Stagecoach,(1939),100%,John Ford
184,Back to the Future,(1985),93%,Robert Zemeckis
185,Die Hard,(1988),94%,John McTiernan
186,No Country for Old Men,(2007),93%,Joel Coen
187,The Lion King,(1994),93%,Roger Allers
188,Gravity,(2013),96%,Alfonso Cuarón
189,The Leopard,(1963),98%,Luchino Visconti
190,Day for Night,(1973),98%,François Truffaut
191,Badlands,(1973),97%,Terrence Malick
192,Touch of Evil,(1958),97%,Orson Welles
193,Yojimbo,(1961),96%,Akira Kurosawa
194,A Streetcar Named Desire,(1951),97%,Elia Kazan
195,Breathless,(1959),95%,Jean-Luc Godard
196,The Manchurian Candidate,(1962),97%,John Frankenheimer
197,The French Connection,(1971),97%,William Friedkin
198,The Bourne Ultimatum,(2007),92%,Paul Greengrass
199,My Fair Lady,(1964),94%,George Cukor
200,It's a Wonderful Life,(1946),94%,Frank Capra
201,Some Like It Hot,(1959),95%,Billy Wilder
202,The Fugitive,(1993),96%,Andrew Davis
203,Guardians of the Galaxy,(2014),92%,James Gunn
204,Airplane!,(1980),97%,Jim Abrahams
205,Groundhog Day,(1993),94%,Harold Ramis
206,This Is Spinal Tap,(1984),96%,Rob Reiner
207,Beauty and the Beast,(1991),95%,Gary Trousdale
208,The Taking of Pelham One Two Three,(1974),98%,Joseph Sargent
209,City Lights,(1931),95%,Charlie Chaplin
210,Kiki's Delivery Service,(1989),98%,Hayao Miyazaki
211,City of God,(2002),91%,Fernando Meirelles
212,Rosemary's Baby,(1968),97%,Roman Polanski
213,Call Me by Your Name,(2017),95%,Luca Guadagnino
214,Aladdin,(1992),96%,Ron Clements
215,The Man With a Movie Camera,(1929),98%,Dziga Vertov
216,The Lady Vanishes,(1938),98%,Alfred Hitchcock
217,The Umbrellas of Cherbourg,(1964),97%,Jacques Demy
218,Mission: Impossible Rogue Nation,(2015),94%,Christopher McQuarrie
219,Three Colors: Blue,(1993),97%,Krzysztof Kieslowski
220,Milk,(2008),93%,Gus Van Sant
